Instance,Nb_Clients,Nb_Vehicules_alloc,Vehicules_utilisés,Capacité,Coût_total_Z*,Coût_distance,Coût_véhicules,Coût_pénalité,Alpha,Beta,Statut
C101,100,50,24,200.0,5772.497,2674.909,2400,697.588,100,2,Heuristic

Véhicule,Route,Distance,Demande
0,0 -> 20 -> 27 -> 28 -> 23 -> 0,38.2801,50.0
1,0 -> 42 -> 44 -> 64 -> 0,59.0899,40.0
2,0 -> 5 -> 8 -> 30 -> 21 -> 0,62.9747,60.0
3,0 -> 72 -> 48 -> 52 -> 0,75.8979,30.0
4,0 -> 13 -> 7 -> 9 -> 0,75.5023,60.0
5,0 -> 87 -> 83 -> 89 -> 1 -> 0,81.2547,50.0
6,0 -> 33 -> 37 -> 38 -> 36 -> 0,83.9525,100.0
7,0 -> 57 -> 46 -> 45 -> 51 -> 0,86.7231,90.0
8,0 -> 17 -> 16 -> 6 -> 0,88.1122,80.0
9,0 -> 55 -> 40 -> 61 -> 69 -> 0,89.4925,40.0
10,0 -> 31 -> 10 -> 11 -> 75 -> 0,102.9474,60.0
11,0 -> 63 -> 56 -> 58 -> 59 -> 0,97.5998,120.0
12,0 -> 81 -> 62 -> 74 -> 0,105.2836,100.0
13,0 -> 3 -> 18 -> 26 -> 66 -> 0,113.2308,50.0
14,0 -> 32 -> 41 -> 53 -> 0,131.5095,60.0
15,0 -> 86 -> 71 -> 84 -> 4 -> 2 -> 0,149.628,90.0
16,0 -> 78 -> 93 -> 97 -> 99 -> 0,150.9376,100.0
17,0 -> 24 -> 25 -> 35 -> 29 -> 50 -> 47 -> 0,106.4634,90.0
18,0 -> 90 -> 96 -> 85 -> 88 -> 0,97.082,80.0
19,0 -> 94 -> 92 -> 14 -> 34 -> 49 -> 0,173.1627,70.0
20,0 -> 76 -> 82 -> 73 -> 77 -> 79 -> 80 -> 0,169.2973,70.0
21,0 -> 67 -> 65 -> 70 -> 60 -> 68 -> 0,173.8,80.0
22,0 -> 43 -> 54 -> 39 -> 12 -> 22 -> 0,190.2669,110.0
23,0 -> 98 -> 95 -> 19 -> 15 -> 100 -> 91 -> 0,172.4201,130.0
