Instance,Nb_Clients,Nb_Vehicules_alloc,Vehicules_utilisés,Capacité,Coût_total_Z*,Coût_distance,Coût_véhicules,Coût_pénalité,Alpha,Beta,Statut
C1_10_1,1000,50,160,200.0,105016.5014,77207.5724,16000,11808.929,100,2,Heuristic

Véhicule,Route,Distance,Demande
0,0 -> 36 -> 663 -> 561 -> 498 -> 0,29.8311,50.0
1,0 -> 745 -> 218 -> 371 -> 643 -> 438 -> 0,115.8925,90.0
2,0 -> 667 -> 808 -> 926 -> 964 -> 988 -> 277 -> 286 -> 355 -> 0,111.0839,130.0
3,0 -> 183 -> 368 -> 530 -> 444 -> 0,124.5074,70.0
4,0 -> 488 -> 211 -> 359 -> 442 -> 804 -> 824 -> 0,132.4295,120.0
5,0 -> 968 -> 52 -> 654 -> 918 -> 311 -> 893 -> 0,155.7347,100.0
6,0 -> 638 -> 573 -> 337 -> 947 -> 588 -> 439 -> 266 -> 0,169.1616,150.0
7,0 -> 714 -> 22 -> 751 -> 0,167.4204,70.0
8,0 -> 924 -> 155 -> 702 -> 199 -> 576 -> 0,149.3202,70.0
9,0 -> 590 -> 613 -> 873 -> 0,177.1909,60.0
10,0 -> 933 -> 335 -> 712 -> 888 -> 0,220.4754,50.0
11,0 -> 278 -> 511 -> 308 -> 191 -> 898 -> 661 -> 0,189.4102,140.0
12,0 -> 758 -> 774 -> 410 -> 5 -> 477 -> 0,209.6833,110.0
13,0 -> 109 -> 77 -> 417 -> 424 -> 90 -> 519 -> 186 -> 0,237.2711,120.0
14,0 -> 136 -> 644 -> 0,240.3605,40.0
15,0 -> 615 -> 800 -> 143 -> 844 -> 956 -> 699 -> 0,192.7627,100.0
16,0 -> 981 -> 954 -> 404 -> 782 -> 256 -> 510 -> 0,259.0871,120.0
17,0 -> 836 -> 69 -> 796 -> 951 -> 495 -> 420 -> 566 -> 21 -> 583 -> 0,200.9162,170.0
18,0 -> 856 -> 305 -> 30 -> 900 -> 25 -> 1000 -> 0,249.6727,120.0
19,0 -> 581 -> 612 -> 904 -> 855 -> 13 -> 78 -> 794 -> 971 -> 628 -> 0,197.1604,160.0
20,0 -> 997 -> 87 -> 585 -> 120 -> 521 -> 996 -> 0,186.8279,150.0
21,0 -> 801 -> 987 -> 193 -> 670 -> 207 -> 0,292.1616,110.0
22,0 -> 441 -> 679 -> 604 -> 781 -> 23 -> 493 -> 0,309.2752,110.0
23,0 -> 577 -> 533 -> 249 -> 20 -> 689 -> 905 -> 225 -> 0,259.1888,100.0
24,0 -> 32 -> 520 -> 686 -> 327 -> 348 -> 0,326.507,100.0
25,0 -> 941 -> 272 -> 321 -> 353 -> 405 -> 548 -> 0,329.5574,100.0
26,0 -> 70 -> 10 -> 737 -> 676 -> 0,341.7528,80.0
27,0 -> 394 -> 40 -> 282 -> 742 -> 610 -> 703 -> 59 -> 140 -> 0,310.4456,150.0
28,0 -> 238 -> 287 -> 772 -> 506 -> 471 -> 260 -> 376 -> 0,337.4694,150.0
29,0 -> 294 -> 456 -> 398 -> 0,350.6869,70.0
30,0 -> 66 -> 246 -> 8 -> 880 -> 524 -> 0,355.5506,110.0
31,0 -> 224 -> 312 -> 464 -> 0,384.6527,40.0
32,0 -> 562 -> 291 -> 298 -> 395 -> 915 -> 732 -> 0,383.2499,100.0
33,0 -> 130 -> 656 -> 771 -> 761 -> 168 -> 252 -> 485 -> 0,372.4274,130.0
34,0 -> 508 -> 952 -> 41 -> 0,408.2977,40.0
35,0 -> 726 -> 542 -> 928 -> 279 -> 31 -> 276 -> 0,377.1788,110.0
36,0 -> 545 -> 57 -> 131 -> 593 -> 0,388.7126,60.0
37,0 -> 813 -> 840 -> 463 -> 910 -> 850 -> 828 -> 567 -> 71 -> 862 -> 0,402.2533,140.0
38,0 -> 365 -> 776 -> 157 -> 863 -> 0,416.9089,80.0
39,0 -> 725 -> 39 -> 541 -> 680 -> 0,423.1453,80.0
40,0 -> 783 -> 640 -> 861 -> 339 -> 748 -> 325 -> 673 -> 735 -> 0,343.7252,170.0
41,0 -> 945 -> 46 -> 857 -> 0,315.9096,40.0
42,0 -> 116 -> 329 -> 586 -> 906 -> 886 -> 174 -> 811 -> 0,417.4465,90.0
43,0 -> 1 -> 458 -> 798 -> 51 -> 117 -> 768 -> 657 -> 330 -> 248 -> 826 -> 0,412.4205,130.0
44,0 -> 72 -> 704 -> 99 -> 649 -> 556 -> 239 -> 220 -> 55 -> 883 -> 637 -> 0,373.1366,180.0
45,0 -> 362 -> 621 -> 969 -> 213 -> 251 -> 455 -> 86 -> 0,328.5201,130.0
46,0 -> 963 -> 254 -> 152 -> 619 -> 446 -> 15 -> 0,440.8178,90.0
47,0 -> 106 -> 81 -> 385 -> 537 -> 816 -> 412 -> 0,448.8744,140.0
48,0 -> 599 -> 755 -> 496 -> 166 -> 515 -> 307 -> 687 -> 617 -> 0,343.6152,170.0
49,0 -> 306 -> 504 -> 766 -> 343 -> 930 -> 646 -> 230 -> 0,369.1335,110.0
50,0 -> 902 -> 543 -> 943 -> 723 -> 920 -> 821 -> 150 -> 433 -> 161 -> 0,365.4357,140.0
51,0 -> 819 -> 778 -> 129 -> 491 -> 274 -> 0,457.5204,100.0
52,0 -> 815 -> 149 -> 332 -> 345 -> 936 -> 739 -> 391 -> 0,468.6055,160.0
53,0 -> 623 -> 250 -> 572 -> 950 -> 881 -> 0,448.0182,100.0
54,0 -> 658 -> 958 -> 142 -> 516 -> 431 -> 0,481.1132,110.0
55,0 -> 316 -> 461 -> 560 -> 695 -> 0,481.9176,70.0
56,0 -> 605 -> 578 -> 346 -> 443 -> 206 -> 342 -> 558 -> 549 -> 0,463.2638,130.0
57,0 -> 823 -> 258 -> 317 -> 505 -> 281 -> 0,481.4454,80.0
58,0 -> 544 -> 705 -> 715 -> 923 -> 0,415.593,100.0
59,0 -> 44 -> 938 -> 979 -> 0,493.0858,40.0
60,0 -> 415 -> 627 -> 462 -> 698 -> 172 -> 569 -> 0,460.7323,120.0
61,0 -> 38 -> 262 -> 63 -> 369 -> 366 -> 929 -> 0,441.8981,90.0
62,0 -> 985 -> 884 -> 478 -> 243 -> 12 -> 0,463.4026,160.0
63,0 -> 411 -> 563 -> 986 -> 818 -> 27 -> 189 -> 153 -> 0,361.178,150.0
64,0 -> 648 -> 949 -> 767 -> 214 -> 198 -> 64 -> 0,422.9723,110.0
65,0 -> 309 -> 466 -> 756 -> 241 -> 0,509.3805,80.0
66,0 -> 780 -> 437 -> 965 -> 204 -> 917 -> 0,471.636,90.0
67,0 -> 356 -> 4 -> 17 -> 9 -> 89 -> 18 -> 105 -> 97 -> 0,429.9048,140.0
68,0 -> 351 -> 678 -> 47 -> 0,516.6294,40.0
69,0 -> 736 -> 34 -> 912 -> 61 -> 744 -> 911 -> 518 -> 946 -> 0,488.4746,140.0
70,0 -> 849 -> 788 -> 528 -> 494 -> 354 -> 555 -> 67 -> 685 -> 0,479.3463,110.0
71,0 -> 125 -> 103 -> 972 -> 422 -> 160 -> 0,522.9939,80.0
